rank,op_name,mean_mse,mean_cos
233,/base/transformer/layer.4/ffn/lin1/MatMul_output_0,0.0008255921546375989,0.99946850613958
234,base.transformer.layer.4.ffn.lin1.bias,0.0008255921546375989,0.99946850613958
235,/base/transformer/layer.4/ffn/activation/Constant_output_0,0.0008255921546375989,0.99946850613958
236,/base/transformer/layer.4/ffn/activation/Constant_1_output_0,0.0008255921546375989,0.99946850613958
237,/base/transformer/layer.4/ffn/activation/Constant_2_output_0,0.0008255921546375989,0.99946850613958
238,/base/transformer/layer.4/ffn/lin2/MatMul_output_0,0.0008255921546375989,0.99946850613958
239,base.transformer.layer.4.ffn.lin2.bias,0.0008255921546375989,0.99946850613958
240,/base/transformer/layer.5/attention/q_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
241,base.transformer.layer.5.attention.q_lin.bias,0.0008255921546375989,0.99946850613958
242,/base/transformer/layer.5/attention/k_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
243,base.transformer.layer.5.attention.k_lin.bias,0.0008255921546375989,0.99946850613958
244,/base/transformer/layer.5/attention/v_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
245,base.transformer.layer.5.attention.v_lin.bias,0.0008255921546375989,0.99946850613958
246,/base/transformer/layer.5/attention/Mul_output_0,0.0008255921546375989,0.99946850613958
247,/base/transformer/layer.5/attention/Add_output_0,0.0008255921546375989,0.99946850613958
248,/base/transformer/layer.5/attention/out_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
249,base.transformer.layer.5.attention.out_lin.bias,0.0008255921546375989,0.99946850613958
250,/base/transformer/layer.5/ffn/lin1/MatMul_output_0,0.0008255921546375989,0.99946850613958
251,base.transformer.layer.5.ffn.lin1.bias,0.0008255921546375989,0.99946850613958
252,/base/transformer/layer.5/ffn/activation/Constant_output_0,0.0008255921546375989,0.99946850613958
253,/base/transformer/layer.5/ffn/activation/Constant_1_output_0,0.0008255921546375989,0.99946850613958
254,/base/transformer/layer.5/ffn/activation/Constant_2_output_0,0.0008255921546375989,0.99946850613958
255,/base/transformer/layer.5/ffn/lin2/MatMul_output_0,0.0008255921546375989,0.99946850613958
256,base.transformer.layer.5.ffn.lin2.bias,0.0008255921546375989,0.99946850613958
257,mask_f,0.0008255921546375989,0.99946850613958
258,masked_seq,0.0008255921546375989,0.99946850613958
259,sum_seq,0.0008255921546375989,0.99946850613958
260,sum_mask,0.0008255921546375989,0.99946850613958
261,eps_f,0.0008255921546375989,0.99946850613958
262,denom,0.0008255921546375989,0.99946850613958
263,pooled_output,0.0008255921546375989,0.99946850613958
264,/base/transformer/layer.5/attention/q_lin/Add_output_0,0.0008255925852034087,0.9994685058394
265,/base/transformer/layer.4/attention/k_lin/Add_output_0,0.0008255927077403872,0.9994685054716105
266,/base/transformer/layer.5/ffn/activation/Mul_1_output_0,0.0008255931852924467,0.9994685054747281
267,/base/transformer/layer.4/ffn/lin1/Add_output_0,0.0008255938765390851,0.9994685049564392
268,/base/transformer/layer.5/attention/v_lin/Add_output_0,0.0008255942087445573,0.999468504827281
269,/base/transformer/layer.5/ffn/activation/Mul_output_0,0.0008255943425982949,0.9994685046981077
270,/base/transformer/layer.3/ffn/activation/Mul_1_output_0,0.0008256009110744637,0.9994685003506697
271,/base/transformer/layer.4/ffn/lin2/Add_output_0,0.000825601934358934,0.9994684995940125
272,/base/transformer/layer.4/ffn/activation/Erf_output_0,0.0008256025171945685,0.9994684995899544
273,/base/transformer/layer.5/ffn/lin1/Add_output_0,0.0008256049689823312,0.9994684974739297
274,/base/transformer/layer.5/ffn/activation/Erf_output_0,0.0008256070358615533,0.9994684961996146
275,/base/transformer/layer.3/output_layer_norm/LayerNormalization_output_0,0.0008256081519456771,0.9994684961221502
276,/base/transformer/layer.5/ffn/activation/Add_output_0,0.0008256088891240377,0.9994684949723996
277,/base/transformer/layer.5/ffn/activation/Div_output_0,0.0008256098756164831,0.9994684942973915
278,/base/transformer/layer.4/ffn/activation/Div_output_0,0.0008256123809734601,0.9994684932766171
279,/base/transformer/layer.4/sa_layer_norm/LayerNormalization_output_0,0.000825614513539256,0.9994684921214744
280,/base/transformer/layer.3/ffn/activation/Add_output_0,0.0008256224171948255,0.999468486067085
281,/base/transformer/layer.3/ffn/activation/Div_output_0,0.0008256326341911649,0.9994684797833089
282,/base/transformer/layer.3/attention/MatMul_1_output_0,0.0008256366828931067,0.999468477540112
283,/base/transformer/layer.3/attention/k_lin/Add_output_0,0.0008256718629128698,0.9994684543561876
284,/base/transformer/layer.3/ffn/activation/Erf_output_0,0.0008257174631332968,0.999468425366811
285,base.transformer.layer.0.output_layer_norm.weight,0.0008258402891453606,0.9994683481476033
286,/base/transformer/layer.4/attention/Softmax_output_0,0.0008259309661738806,0.9994682870849517
287,/base/transformer/layer.2/attention/Constant_8_output_0,0.0008260205906681688,0.999468230267848
288,onnx::MatMul_652,0.0008262046036877742,0.9994681114178688
289,/base/transformer/layer.3/attention/Softmax_output_0,0.0008262414445099793,0.9994680881840118
290,/base/transformer/layer.1/output_layer_norm/LayerNormalization_output_0,0.0008262528744450384,0.9994680800177939
291,onnx::MatMul_698,0.0008270383600389808,0.9994675706285849
292,base.transformer.layer.3.output_layer_norm.weight,0.0008342072637977913,0.9994629598680541
